PRCP,TMAX,TMIN,RAIN
0,77,47,0
0,77,51,0
0,79,48,0
0,78,49,0
0,76,48,0
0.26,72,57,1
1.2,63,57,1
0,77,56,0
0,82,56,0
0,81,53,0
0,84,53,0
0,86,55,0
0,85,55,0
0.37,75,55,1
0.17,68,57,1
0.02,73,56,1
0,74,55,0
0,85,53,0
0,74,55,0
0,75,50,0
0,72,53,0
0,75,45,0
0,79,46,0
0,83,51,0
0,80,57,0
0.13,64,55,1
0.06,67,53,1
0,72,44,0
0,70,50,0
0,71,48,0
0,75,43,0
0,73,45,0
0,67,47,0
0,77,47,0
0,77,45,0
0,60,50,0
0,65,49,0
0,61,45,0
0,69,50,0
0,73,48,0
0,70,44,0
0,63,47,0
0,71,42,0
0,86,51,0
0,75,52,0
0.01,67,52,1
0.99,60,55,1
0.63,60,49,1
